State,County,Pop 2000,Total,,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Unknown,Nonroad,Transport
AL,Autauga County,43671,5.8658291633,,0.0687117587,0.1015273445,0.2323853176,3.5609066055,1.7119073693,0,0.0223445721,0.0561672334,0.1118789621,1.9022981369
AL,Baldwin County,140415,3.2050084553,,0.1093058386,0.0846325309,0.2275288351,0,1.9848942827,0,0.1270668851,0.3194060865,0.3521739966,2.7835412508
AL,Barbour County,29038,3.4220791168,,0.0655890894,0.2946296552,0.2163897945,0,1.967853874,0,0.1883380594,0.473422422,0.2158562223,2.8454705777
AL,Bibb County,20826,2.2061399796,,0.0369139571,0.0778864101,0.2215687661,0,1.7163974408,0,0.0182589007,0.0458971041,0.0892174006,1.8697708462
AL,Blount County,51024,2.2494561727,,0.0382449546,0.1775527309,0.2187620527,0,1.712933689,0,0.0058408613,0.014682095,0.0814397892,1.8148964345
AL,Bullock County,11714,2.675436119,,0.0411858836,0.2985302685,0.2275956848,0,1.9899756101,0,0,0,0.1181486721,2.1081242822
AL,Butler County,21399,4.5801070271,,0.0772923523,0.1500671541,0.236214973,0,3.8631833077,0,0.0248073252,0.0623577801,0.1661841347,4.1165325477
AL,Calhoun County,112249,4.1600621703,,0.1120419369,0.412305156,0.2443465862,0,3.0922235257,0,0.0449909463,0.1130930474,0.1410609719,3.3913684912
AL,Chambers County,36583,2.3083755502,,0.0664387402,0.306400753,0.2339926205,0,1.5588665842,0,0.0096942824,0.0243684045,0.1086141653,1.7015434365
AL,Cherokee County,23988,2.5873628109,,0.0357780284,0.073517278,0.2151043616,0,1.8647710332,0,0.0241547319,0.0607173893,0.3133199885,2.262963143
AL,Chilton County,39593,4.3575199794,,0.0489778498,1.3579800213,0.2235912078,0,2.3950692497,0,0.0648705109,0.1630640369,0.1039671031,2.7269709005
AL,Choctaw County,15922,3.6662422097,,0.0430935325,1.2555055556,0.2291593156,0,1.7849035943,0,0.0129459982,0.0325421756,0.3080920379,2.138483806
AL,Clarke County,27867,2.7983395641,,0.074428904,0.5576415582,0.2427363132,0.0239864828,1.6219071994,0,0.0155717716,0.0391425203,0.2229248145,1.8995463058
AL,Clay County,14254,2.6899505589,,0.0466645529,0.3533520189,0.2312076892,0,1.8128620822,0,0.0223034798,0.0560640727,0.1674966633,2.058726298
AL,Cleburne County,14123,4.9204872406,,0.0260437082,0.2133852207,0.2405688803,0,4.3465429988,0,0,0,0.0939464326,4.4404894314
AL,Coffee County,43615,3.0141528815,,0.0836139734,0.2441032153,0.2275616453,0,1.5919581657,0,0.2034442394,0.5113946527,0.1520769897,2.4588740475
AL,Colbert County,54984,35.8428905987,,0.1210848082,0.6385438774,0.2253473202,32.6136594597,1.6774076193,0,0.0958563727,0.2409526916,0.2300384496,2.2442551332
AL,Conecuh County,14089,13.1429157603,,0.0479425493,0.1161487524,0.228846616,0.0201887188,4.438316291,0,2.3032675431,5.7896885987,0.1985166912,12.729789124
AL,Coosa County,12202,3.766463743,,0.0171515285,0.7210261404,0.2259472967,0,2.5834175009,0,0,0,0.2189212765,2.8023387774
AL,Covington County,37631,9.8877785453,,0.0797904324,0.1764896169,0.235001054,5.6461590243,1.7846901584,0,0.5137099286,1.2913048489,0.1606334817,3.7503384177
AL,Crenshaw County,13665,2.6397355128,,0.0541597165,0.0704884441,0.234411144,0,2.0985475828,0,0,0,0.1821286254,2.2806762082
AL,Cullman County,77483,2.7227350841,,0.0833170316,0.1790878489,0.2301675384,0.0628738963,1.8403374952,0,0.052638792,0.1323172815,0.1419952002,2.1672887689
AL,Dale County,49129,5.5885553733,,0.1131874331,0.3799937086,0.2353818143,3.0471750426783E-005,3.0127495525,0,0.4993827627,1.255290768,0.0925388623,4.8599619456
AL,Dallas County,46365,2.3309080052,,0.0948115086,0.2423976051,0.2368238188,0,1.2548229046,0,0.1024626841,0.257558857,0.142030627,1.7568750727
AL,DeKalb County,64452,2.8379501717,,0.0765827335,0.3825420381,0.2160576737,0,1.9008764906,0,0.027434,0.0689604373,0.1654967985,2.1627677265
AL,Elmore County,65874,2.2572260331,,0.0469217361,0.2547011452,0.2267348405,0,1.3464678584,0,0.064211693,0.1614079761,0.1567807838,1.7288683113
AL,Escambia County,38440,8.2354058202,,0.0816422755,1.9459566631,0.22480687,0.0003686937,2.2003664221,0,1.0406109149,2.6157676985,0.1258862824,5.9826313178
AL,Etowah County,103459,4.0839358514,,0.1043192797,0.1560341954,0.2352889915,1.7782621155,1.6288834581,0,0.0270549655,0.0680076374,0.0860852084,1.8100312693
AL,Fayette County,18495,2.7341756428,,0.0729081083,0.1945138751,0.2304086015,0,1.8055725419,0,0.088811464,0.2232439394,0.1187171127,2.236345058
AL,Franklin County,31223,3.1195087751,,0.0622740325,0.332437921,0.2241129367,0,2.1231174026,0,0.0691945061,0.1739331245,0.1344388517,2.5006838849
AL,Geneva County,25764,2.2808550255,,0.0475735852,0.107311279,0.2284027101,0,1.5652892481,0,0.0412739044,0.1037496234,0.1872546752,1.8975674511
AL,Greene County,9974,108.1917274465,,0.0448186584,0.0617142314,0.2301428726,102.3902357784,5.1705784906,0,0,0,0.2942374152,5.4648159058
AL,Hale County,17185,3.3109936072,,0.0339855161,1.0396928818,0.2310102327,0,1.7685348362,0,0.0130440631,0.0327887733,0.191937304,2.0063049767
AL,Henry County,16310,4.1271662144,,0.0592935479,0.1836033782,0.2280781235,0,2.4564877245,0,0.2700397405,0.6787944507,0.2508692491,3.6561911648
AL,Houston County,88787,2.5286358781,,0.1784026162,0.2203249486,0.228461966,0,1.7538994677,0,0,0,0.1475468796,1.9014463473
AL,Jackson County,53926,56.7842468623,,0.0547949795,4.262619673,0.2255440501,49.8968486572,2.0775444347,0,0.0154169716,0.0387534187,0.2127246776,2.3444395025
AL,Jefferson County,662047,11.3598436679,,0.2426684855,1.3922352814,0.2335987166,7.3479429973,1.6743391571,0.1254615828,0.0573600723,0.1441851246,0.1420522503,2.0179366043
AL,Lamar County,15904,2.7074534944,,0.0449923887,0.3050418472,0.23708475,0,1.967377487,0,0,0,0.1529570215,2.1203345085
AL,Lauderdale County,87966,2.0642804311,,0.1207126543,0.1600379075,0.2258220242,0,1.398618174,0,0,0,0.1590896711,1.5577078451
AL,Lawrence County,34803,2.4989520069,,0.0343452661,0.1265263147,0.2291489854,0,1.7668158677,0,0.0408460726,0.1026741628,0.1985953375,2.1089314407
AL,Lee County,115092,3.6155231233,,0.0879258977,0.2325649483,0.2087718671,1.3976050577,1.332734903,0,0.0616715614,0.1550228676,0.1392260206,1.6886553525
AL,Limestone County,65676,3.9622289919,,0.0665617668,0.2043653419,0.2264184324,0,2.0168067707,0,0.3019314612,0.7589605283,0.3871846907,3.4648834509
AL,Lowndes County,13473,10.9313846088,,0.0235203693,0.1751731441,0.2273256769,6.376275704,3.9016364913,0,0,0,0.2274532232,4.1290897145
AL,Macon County,24105,3.8938616991,,0.1131960829,0.0034736532,0.2242394731,0,3.153178511,0,0.0869815298,0.2186441951,0.0941482541,3.55295249
AL,Madison County,276700,2.473665192,,0.1712722811,0.1894945225,0.2385386171,0,1.4572306475,0,0.0783762992,0.1970133119,0.1417395126,1.8743597712
AL,Marengo County,22539,10.5263038972,,0.0675538989,3.5887499295,0.2419722605,0,1.8920161141,4.3903682557,0.0254700088,0.0640235985,0.2561498314,2.2376595527
AL,Marion County,31214,3.6727524681,,0.0709806196,0.385088529,0.2298840216,0,2.5915022154,0,0.0749788891,0.1884733282,0.131844865,2.9867992978
AL,Marshall County,82231,2.5068152474,,0.0994685423,0.5624486772,0.2305944875,0,1.2571421959,0,0.0453683479,0.1140416729,0.1977513236,1.6143035403
AL,Mobile County,399843,13.5068637181,,0.1423212494,1.2291532507,0.2350497263,9.7206074973,1.2732265066,0.4198223892,0.1046319057,0.2630116176,0.1190395754,1.7599096053
AL,Monroe County,24324,3.0162292471,,0.0945824453,0.6561460325,0.231595953,0,1.4904620095,0,0.0946347822,0.2378821326,0.210925892,2.0339048162
AL,Montgomery County,223510,2.5536791796,,0.1871898075,0.1001312937,0.2270690159,0,1.6615846799,0,0.0680426797,0.1710378399,0.1386238631,2.0392890625
AL,Morgan County,111064,5.6981100887,,0.1783691605,2.7453225973,0.2326636046,0.7778378622,1.5702667874,0,0.0147835832,0.0371612504,0.1417052432,1.7639168641
AL,Perry County,11861,2.667929738,,0.0507239362,0.1861823431,0.2498791877,0,1.9494372791,0,0.0187361767,0.0470969075,0.1658739077,2.181144271
AL,Pickens County,20949,2.674042729,,0.0428885692,0.152042102,0.2367851414,0,1.9243035166,0,0.0454356101,0.1142107929,0.1583769967,2.2423269164
AL,Pike County,29605,4.0679412405,,0.0850452412,0.1856935241,0.2261838492,0,2.0465438591,0,0.3875194064,0.974101599,0.1628537615,3.571018626
AL,Randolph County,22380,4.5942142204,,0.0479298746,2.799476787,0.2128774973,0,1.3500825436,0,0.0149475254,0.0375733508,0.1313266417,1.5339300616
AL,Russell County,49756,3.0533298491,,0.0667408964,0.8166528963,0.2368349031,0,1.8400950573,0,0,0,0.0930060959,1.9331011532
AL,St. Clair County,64742,4.8679066999,,0.0543408993,0.1017957105,0.2320909145,0,2.4981664184,1.6252034577,0.05955288,0.1496972113,0.1470592081,2.8544757178
AL,Shelby County,143293,26.3874409758,,0.1296598202,0.0841456056,0.2403551433,22.9133703668,1.4794039873,1.1876588262,0.015820657,0.0397681481,0.2972584213,1.8322512137
