MSA NAME,TOTAL POP IN MSA,TOTAL CO2 IN MSA,TOTAL LAND IN MSA,POP DENSITY,CO2/CAPITA
"Abilene, TX MSA",126555,0.38255526938,915.6259,138.2169289881,3.02284E-06
"Albany, GA MSA",120822,0.84918818514,685.369,176.2875181107,7.0284235084956E-006
"Albany--Schenectady--Troy, NY MSA",875583,3.00204624500,3222.194,271.7350351965,3.42862555005969E-006
"Albuquerque, NM MSA",712738,2.14153623728,5943,119.9289920915,3.00466123214462E-006
"Alexandria, LA MSA",126337,1.56110019424,1322.541,95.5259610099,1.23566349861055E-005
"Allentown--Bethlehem--Easton, PA MSA",637958,11.03941348333,1101.496,579.1741413496,1.7304295084211E-005
"Altoona, PA MSA",129144,0.41594104429,525.8023,245.6132276333,3.22075392031684E-006
"Amarillo, TX MSA",217858,3.21920568012,1823.675,119.4609785187,1.4776623672831E-005
"Anchorage, AK MSA",260283,1.92937020484,1697.215,153.3588849969,7.41258631890609E-006
"Anniston, AL MSA",112249,0.46696281855,608.4614,184.4800672647,4.1600621702755E-006
"Appleton--Oshkosh--Neenah, WI MSA",358365,1.79324463972,1398.764,256.2011890498,0.000005004
"Asheville, NC MSA",246543,1.25958307013,1105.41,223.0330827476,0.000005109
"Athens, GA MSA",153444,0.50656269938,590.3757,259.9090714608,3.30128711045492E-006
"Atlanta, GA MSA",4112198,21.08346989981,6123.799,671.5109362669,5.12705611446853E-006
"Auburn--Opelika, AL MSA",115092,0.41611778731,608.7103,189.0751643269,3.61552312332497E-006
"Augusta--Aiken, GA--SC MSA",475456,2.13573047777,2448.381,194.1919987126,0.000004492
"Austin--San Marcos, TX MSA",1228129,4.35955927061,4224.02,290.7488600906,3.54975680129029E-006
"Bakersfield, CA MSA",661645,4.93714789892,8140.964,81.273544509,7.46192882727091E-006
"Baton Rouge, LA MSA",668031,9.25875539963,1586.182,421.1565885882,1.38597690820202E-005
"Beaumont--Port Arthur, TX MSA",158992,6.59648827824,2154.282,73.8027797661,4.14894351806671E-005
"Bellingham, WA MSA",166814,0.73712185526,2119.533,78.703186032,4.41882489034489E-006
"Benton Harbor, MI MSA",162453,0.52808435059,570.9998,284.5062292491,3.25069004939472E-006
"Billings, MT MSA",129352,1.39277921028,2635.154,49.0870742279,1.07673573681386E-005
"Biloxi--Gulfport--Pascagoula, MS MSA",887448,4.57220399503,1784.759,497.2368818423,5.1520810177363E-006
"Binghamton, NY MSA",252320,1.02002359129,1225.515,205.8889528076,4.04257922989356E-006
"Birmingham, AL MSA",921106,11.73182026788,3186.639,289.0525095563,1.27366668633972E-005
"Bismarck, ND MSA",94719,0.51871518442,3559.356,26.6112746238,5.47635832747434E-006
"Bloomington, IN MSA",120563,0.32087886874,394.3462,305.7288240637,2.66150368471658E-006
"Bloomington--Normal, IL MSA",150433,0.56371917952,1183.527,127.1056765076,3.7473106268138E-006
"Boise City, ID MSA",432345,1.38852304240,1644.709,262.8702098669,3.21160888271191E-006
"Brownsville--Harlingen--San Benito, TX MSA",9991,0.58917846994,905.7567,11.0305559981,5.89709208232347E-005
"Bryan--College Station, TX MSA",152415,0.46572912755,585.7798,260.1916283218,3.05566464948307E-006
"Buffalo--Niagara Falls, NY MSA",1170111,6.11184049423,1567.158,746.6452010582,5.22329975039021E-006
"Canton--Massillon, OH MSA",406934,1.04866284065,970.8093,419.1698616814,0.000002577
"Casper, WY MSA",66533,0.40396875114,5339.882,12.4596386212,6.07170503565948E-006
"Cedar Rapids, IA MSA",191701,1.13600188489,717.4424,267.2005446012,5.92590484602135E-006
"Champaign--Urbana, IL MSA",179669,0.65505307932,996.806,180.2447015768,3.64588815724365E-006
"Charleston, WV MSA",251662,5.92379691170,1249.331,201.4374093015,2.35387023535665E-005
"Charleston--North Charleston, SC MSA",549033,5.94669809265,2590.954,211.903800685,1.08312216071702E-005
"Charlotte--Gastonia--Rock Hill, NC--SC MSA",1442925,6.32125288950,3376.805,427.3048043935,4.38086032849787E-006
"Charlottesville, VA MSA",159576,0.96747596356,1176.819,135.5994422252,6.06279116886801E-006
"Chattanooga, TN--GA MSA",465161,1.97017119967,1823.582,255.0809341176,4.23546083973646E-006
"Cheyenne, WY MSA",81607,0.66424275885,2686.052,30.3817647611,8.13953164372176E-006
"Chico--Paradise, CA MSA",203171,0.38764294746,1639.488,123.9234443924,0.000001908
"Clarksville--Hopkinsville, TN--KY MSA",207033,0.55494254476,1260.592,164.2347405029,2.68045453990064E-006
"Colorado Springs, CO MSA",516929,2.34910523802,2126.449,243.0949437301,4.54434794337296E-006
"Columbia, MO MSA",135454,0.52296650071,685.4301,197.618984051,3.86084206230604E-006
"Columbia, SC MSA",24791,3.00901698238,1455.667,17.0306807807,0.0001213754
"Columbus, GA--AL MSA",274624,0.73083898231,1570.037,174.9156230076,2.66123493326516E-006
"Columbus, OH MSA",1591781,4.47027410908,3141.243,506.7360277444,2.80834744797406E-006
"Corpus Christi, TX MSA",380783,3.91782437705,1527.468,249.2903288318,1.02888636757656E-005
"Corvallis, OR MSA",78153,0.19071721691,676.4613,115.5321080452,2.44030577079891E-006
"Cumberland, MD--WV MSA",102008,0.31053857792,753.1525,135.4413614773,3.04425709673449E-006
"Danville, VA MSA",110156,0.51443641465,1013.821,108.6542890708,4.67007166786377E-006
"Davenport--Moline--Rock Island, IA--IL MSA",359062,1.67385807292,1707.898,210.2362084855,4.66175221249137E-006
"Daytona Beach, FL MSA",493175,2.21298601556,1588.246,310.5154994881,4.487222619876E-006
"Dayton--Springfield, OH MSA",950558,3.12695663721,1683.454,564.6474450742,3.28960109452601E-006
"Decatur, AL MSA",145867,0.71982592558,1275.596,114.3520362246,4.93480996787372E-006
