MSA NAME,TOTAL POP IN MSA,TOTAL CO2 IN MSA,TOTAL LAND IN MSA,POP DENSITY,CO2/CAPITA
"Abilene, TX MSA",126555,0.38255526938,915.6259,138.216929,3.02284E-06
"Albany, GA MSA",120822,0.84918818514,685.369,176.2875181,7.02842E-06
"Albany--Schenectady--Troy, NY MSA",875583,3.00204624500,3222.194,271.7350352,3.42863E-06
"Albuquerque, NM MSA",712738,2.14153623728,5943,119.9289921,3.00466E-06
"Alexandria, LA MSA",126337,1.56110019424,1322.541,95.52596101,1.23566E-05
"Allentown--Bethlehem--Easton, PA MSA",637958,11.03941348333,1101.496,579.1741413,1.73043E-05
"Altoona, PA MSA",129144,0.41594104429,525.8023,245.6132276,3.22075E-06
"Amarillo, TX MSA",217858,3.21920568012,1823.675,119.4609785,1.47766E-05
"Anchorage, AK MSA",260283,1.92937020484,1697.215,153.358885,7.41259E-06
"Anniston, AL MSA",112249,0.46696281855,608.4614,184.4800673,4.16006E-06
"Appleton--Oshkosh--Neenah, WI MSA",358365,1.79324463972,1398.764,256.201189,5.00396E-06
"Asheville, NC MSA",246543,1.25958307013,1105.41,223.0330827,5.10898E-06
"Athens, GA MSA",153444,0.50656269938,590.3757,259.9090715,3.30129E-06
"Atlanta, GA MSA",4112198,21.08346989981,6123.799,671.5109363,5.12706E-06
"Auburn--Opelika, AL MSA",115092,0.41611778731,608.7103,189.0751643,3.61552E-06
"Augusta--Aiken, GA--SC MSA",475456,2.13573047777,2448.381,194.1919987,4.49196E-06
"Austin--San Marcos, TX MSA",1228129,4.35955927061,4224.02,290.7488601,3.54976E-06
"Bakersfield, CA MSA",661645,4.93714789892,8140.964,81.27354451,7.46193E-06
"Baton Rouge, LA MSA",668031,9.25875539963,1586.182,421.1565886,1.38598E-05
"Beaumont--Port Arthur, TX MSA",158992,6.59648827824,2154.282,73.80277977,4.14894E-05
"Bellingham, WA MSA",166814,0.73712185526,2119.533,78.70318603,4.41882E-06
"Benton Harbor, MI MSA",162453,0.52808435059,570.9998,284.5062292,3.25069E-06
"Billings, MT MSA",129352,1.39277921028,2635.154,49.08707423,1.07674E-05
"Biloxi--Gulfport--Pascagoula, MS MSA",887448,4.57220399503,1784.759,497.2368818,5.15208E-06
"Binghamton, NY MSA",252320,1.02002359129,1225.515,205.8889528,4.04258E-06
"Birmingham, AL MSA",921106,11.73182026788,3186.639,289.0525096,1.27367E-05
"Bismarck, ND MSA",94719,0.51871518442,3559.356,26.61127462,5.47636E-06
"Bloomington, IN MSA",120563,0.32087886874,394.3462,305.7288241,2.6615E-06
"Bloomington--Normal, IL MSA",150433,0.56371917952,1183.527,127.1056765,3.74731E-06
"Boise City, ID MSA",432345,1.38852304240,1644.709,262.8702099,3.21161E-06
"Brownsville--Harlingen--San Benito, TX MSA",9991,0.58917846994,905.7567,11.030556,5.89709E-05
"Bryan--College Station, TX MSA",152415,0.46572912755,585.7798,260.1916283,3.05566E-06
"Buffalo--Niagara Falls, NY MSA",1170111,6.11184049423,1567.158,746.6452011,5.2233E-06
"Canton--Massillon, OH MSA",406934,1.04866284065,970.8093,419.1698617,2.57699E-06
"Casper, WY MSA",66533,0.40396875114,5339.882,12.45963862,6.07171E-06
"Cedar Rapids, IA MSA",191701,1.13600188489,717.4424,267.2005446,5.9259E-06
"Champaign--Urbana, IL MSA",179669,0.65505307932,996.806,180.2447016,3.64589E-06
"Charleston, WV MSA",251662,5.92379691170,1249.331,201.4374093,2.35387E-05
"Charleston--North Charleston, SC MSA",549033,5.94669809265,2590.954,211.9038007,1.08312E-05
"Charlotte--Gastonia--Rock Hill, NC--SC MSA",1442925,6.32125288950,3376.805,427.3048044,4.38086E-06
"Charlottesville, VA MSA",159576,0.96747596356,1176.819,135.5994422,6.06279E-06
"Chattanooga, TN--GA MSA",465161,1.97017119967,1823.582,255.0809341,4.23546E-06
"Cheyenne, WY MSA",81607,0.66424275885,2686.052,30.38176476,8.13953E-06
"Chico--Paradise, CA MSA",203171,0.38764294746,1639.488,123.9234444,1.90796E-06
"Clarksville--Hopkinsville, TN--KY MSA",207033,0.55494254476,1260.592,164.2347405,2.68045E-06
"Colorado Springs, CO MSA",516929,2.34910523802,2126.449,243.0949437,4.54435E-06
"Columbia, MO MSA",135454,0.52296650071,685.4301,197.6189841,3.86084E-06
"Columbia, SC MSA",24791,3.00901698238,1455.667,17.03068078,0.000121375
"Columbus, GA--AL MSA",274624,0.73083898231,1570.037,174.915623,2.66123E-06
"Columbus, OH MSA",1591781,4.47027410908,3141.243,506.7360277,2.80835E-06
